"VAP0127","26-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0126","19-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0085","19-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0195","07-09-2022","Windows Server 2016 Datacenter"
"VAP0133","13-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0137","03-09-2022","Windows Server 2008 R2 Enterprise"
"VAP0136","21-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0151","23-01-2020","Windows Server 2008 R2 Enterprise"
"VAP0102","22-01-2020","Windows Server 2008 R2 Enterprise"
"CAP1012","30-08-2022","Windows Server 2012 R2 Datacenter"
"VBR0003","25-01-2020","Windows Server 2016 Datacenter"
"VBR0004","25-01-2020","Windows Server 2016 Datacenter"
"CMG10001","18-08-2022","Windows Server 2019 Datacenter"
"PHV3802","31-08-2022","Windows Server 2016 Datacenter"
"VAP3802","31-08-2022","Windows Server 2016 Datacenter"
"VAP3803","03-09-2022","Windows Server 2016 Datacenter"
"CDI700-1","07-09-2022","Windows Server 2016 Datacenter"
"VAP6002","05-05-2022","Windows Server 2016 Datacenter"
"CDI900-1","08-09-2022","Windows Server 2016 Datacenter"
"VAP0107","21-01-2020","Windows Server 2008 R2 Enterprise"
"VDB0004","31-08-2022","Windows Server 2008 R2 Enterprise"
"VDS3002","21-01-2020","Windows Server 2012 R2 Datacenter"
"PHV3002","07-09-2022","Windows Server 2019 Datacenter"
"VRD0003","10-02-2021","Windows Server 2016 Datacenter"
"PHV0014","20-01-2020","Windows Server 2016 Datacenter"
"CBI700-3","07-09-2022","Windows Server 2012 R2 Datacenter"
"CBI700-4","07-09-2022","Windows Server 2012 R2 Datacenter"
"VMG0002","04-03-2021","Windows Server 2012 R2 Standard"
"VBR0009","15-01-2020","Windows Server 2016 Datacenter"
"VBR0010","15-01-2020","Windows Server 2016 Datacenter"
"VAP0196","21-01-2020","Windows Server 2019 Datacenter"
"VAP3010","08-09-2022","Windows Server 2019 Datacenter"
"VAP3011","30-08-2022","Windows Server 2019 Datacenter"
"VAP3012","07-09-2022","Windows Server 2019 Datacenter"
"VAP3013","08-09-2022","Windows Server 2019 Datacenter"
"VRD0008","11-02-2021","Windows Server 2016 Datacenter"
"PHV5001","05-09-2022","Windows Server 2016 Datacenter"
"PHV0020","21-01-2020","Windows Server 2016 Datacenter"
"PHV0017","31-01-2020","Windows Server 2016 Datacenter"
"PHV0016","26-05-2020","Windows Server 2016 Datacenter"
"PHV0015","26-01-2020","Windows Server 2016 Datacenter"
"PHV0013","26-01-2020","Windows Server 2016 Datacenter"
"PHV0012","30-01-2020","Windows Server 2016 Datacenter"
"VDS5001","19-01-2020","Windows Server 2012 R2 Datacenter"
"PHV0003","21-01-2020","Windows Server 2016 Datacenter"
"VRD0011","11-02-2021","Windows Server 2016 Datacenter"
"VMG0003","05-09-2022","Windows Server 2016 Datacenter"
"PHV0030","03-09-2022","Windows Server 2019 Datacenter"
"CAP10001","07-09-2022","Windows Server 2019 Datacenter"
"VHC3901","01-09-2022","Windows Server 2012 R2 Datacenter"
"VAP0080","03-02-2020","Windows Server 2008 R2 Enterprise"
"CDR7003","02-09-2022","Windows Server 2016 Datacenter"
"CFS7003","02-09-2022","Windows Server 2016 Datacenter"
"VAP0161","30-08-2022","Windows Server 2012 R2 Standard"
"VWS0021","07-09-2022","Windows Server 2008 R2 Enterprise"
"VHC0001","18-11-2021","Windows Server 2016 Datacenter"
"VAP0154","31-08-2022","Windows Server 2008 R2 Enterprise"
"PHV0050","24-01-2020","Windows Server 2016 Datacenter"
"VDB0005","03-09-2022","Windows Server 2019 Datacenter"
"PHV0051","25-02-2020","Windows Server 2016 Datacenter"
"VAP0177","01-09-2022","Windows Server 2012 R2 Standard"
"VAP0155","08-09-2022","Windows Server 2012 R2 Standard"
"FSSLIMSWEBTEST","29-08-2022","Windows Server 2012 R2 Standard"
"FSSLIMSDB1","04-09-2022","Windows Server 2012 R2 Standard"
"PAP0007","05-09-2020","Windows Server 2008 R2 Enterprise"
"VAP0187","06-09-2022","Windows Server 2012 R2 Standard"
"VAP0143","13-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0054","06-02-2020","Windows Server 2008 R2 Enterprise"
"VAP0115","27-01-2020","Windows Server 2008 R2 Enterprise"
"FSSLIMSDBTEST","04-09-2022","Windows Server 2012 R2 Standard"
"VAP0111","30-08-2022","Windows Server 2008 R2 Enterprise"
"FSSLIMSWEB1","05-09-2022","Windows Server 2012 R2 Standard"
"CAP10241","07-09-2022","Windows Server 2019 Datacenter"
"CMG7002","29-04-2022","Windows Server 2016 Datacenter"
"VDH0001","28-01-2020","Windows Server 2016 Standard"
"CAP10242","07-09-2022","Windows Server 2019 Datacenter"
"CAP10245","04-09-2022","Windows Server 2019 Datacenter"
"CAP10246","05-09-2022","Windows Server 2019 Datacenter"
"CAP10243","07-09-2022","Windows Server 2019 Datacenter"
"VAP0075","28-01-2020","Windows Server 2008 R2 Enterprise"
